article_id,title,category,topics,regions_v2,v1_asset,v2_asset,rule_asset,route_source,expected_asset,expected_region,expected_reason,verdict
economy:13276,신한 FX Check-up,economy,환율_FX|에너지_원자재|통화정책,GLOBAL|US,원자재에너지,환율,환율,llm,환율,GLOBAL/US,"FX Check-up=환율 리포트. v1 원자재 오분류, v2 환율 정정",agree
economy:13305,신한 Econ Check-up,economy,경기_소비|물가_인플레이션,US|NON_US_OVERSEAS,국내채권,해외주식,해외주식,llm,해외주식/해외채권,US/NON_US,Econ Check-up 매크로(경기·물가) — 자산 단일귀속 애매. v2 해외주식 타당하나 채권성도,ambiguous
economy:13334,"금리 발작=자금 경색, 가능성은 아직 낮다",economy,금리_채권|유동성_크레딧,GLOBAL|US,해외채권,해외채권,크레딧,llm,해외채권,GLOBAL/US,금리발작·자금경색=채권/크레딧. v2 해외채권 적절(rule 크레딧 leakage),agree
economy:13362,호르무즈 해협이 열린다면 효과는,economy,지정학|에너지_원자재,GLOBAL,해외채권,금대체,원자재에너지,llm,금대체,GLOBAL,호르무즈=유가/에너지 지정학 → 8class 대체(금대체) 버킷. v2 일치,agree
market_info:35924,실적 시즌 거치면서 주주환원 강자로서의 지위 부각,market_info,경기_소비,KR,,국내주식,국내주식,llm,국내주식,KR,KR 실적·주주환원=국내주식. v1 미분류 → v2 recovery,agree
market_info:35953,[JAEMINI]중국 장마감 시황,market_info,테크_AI_반도체,NON_US_OVERSEAS,해외주식,해외주식,해외주식,llm,해외주식,NON_US,중국 장마감 시황=해외주식,agree
market_info:35981,5/8 KB 리서치 장마감코멘트,market_info,테크_AI_반도체|지정학,KR,해외주식,국내주식,국내주식,llm,국내주식,KR,KR 장마감코멘트=국내주식. v1 해외 오분류 → v2 recovery,agree
market_info:36011,Daily Market Digest (5월 12일),market_info,테크_AI_반도체|테크_AI_반도체|지정학,KR|US,해외주식,국내주식,해외주식,llm,국내주식/해외주식,KR/US,Daily Digest KR·US 혼재 — 단일귀속 애매. v2 국내주식,ambiguous
market_info:36039,Daily Morning Brief(2026.05.13),market_info,물가_인플레이션|테크_AI_반도체|지정학,US,해외채권,해외주식,해외채권,llm,해외주식,US,US Morning Brief 테크중심=해외주식. v1 해외채권 오분류 정정,agree
market_info:36068,신한 해외주식 Weekly(5월 15일),market_info,테크_AI_반도체|테크_AI_반도체,US|NON_US_OVERSEAS,해외주식,해외주식,해외주식,llm,해외주식,US/NON_US,제목명시 해외주식 Weekly,agree
market_info:36096,[DS Defense Daily] 2026-05-19,market_info,지정학,NON_US_OVERSEAS,해외주식,,,v1,국내주식,KR,DS Defense Daily=KR 방산주. region NON_US 오태깅 → v2 none(미스). classification 단계 오류,disagree
market_info:36125,DS Futures Daily,market_info,유동성_크레딧,KR,,국내주식,크레딧,llm,국내주식,KR,DS Futures Daily=KR 지수선물 → 국내주식. v2 일치(rule 크레딧 leakage),agree
market_info:36154,"지수가 역사적 고점을 형성할수록, 통신의 주주환원 ..",market_info,,KR,,국내주식,,llm,국내주식,KR,KR 통신 주주환원=국내주식,agree
market_info:36184,국내 주식 마감 시황 - 75개 종목만 상승한 매수 사이..,market_info,테크_AI_반도체,KR,국내주식,국내주식,국내주식,llm,국내주식,KR,제목명시 국내주식 마감시황,agree
market_info:36214,Daily Morning Brief(2026.05.28),market_info,테크_AI_반도체|금리_채권|지정학,US|GLOBAL,해외채권,해외주식,해외주식,llm,해외주식,US/GLOBAL,"US Morning Brief 테크+금리 혼재. v2 해외주식 lean, 금리성분 존재",ambiguous
invest:38739,"05/06 엔화, 되돌림 과정에 하락",invest,환율_FX|지정학|에너지_원자재,GLOBAL,원자재에너지,환율,환율,llm,환율,GLOBAL,"엔화=FX. v1 원자재 오분류, v2 환율 정정",agree
invest:38767,DS Futures Daily,invest,경기_소비,KR,,국내주식,국내주식,llm,국내주식,KR,DS Futures Daily KR=국내주식,agree
invest:38795,"[New K-ETF] 현대차 피지컬AI, 코스닥바이오 액티브",invest,테크_AI_반도체,KR,국내주식,국내주식,국내주식,llm,국내주식,KR,K-ETF 현대차/코스닥=국내주식,agree
invest:38823,"대내외 악재 겹친 코스피, 외국인 순매도 속 6 거래일..",invest,테크_AI_반도체|테크_AI_반도체,KR|US,국내주식,국내주식,국내주식,llm,국내주식,KR,코스피 마감=국내주식,agree
